Matrix,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Speedup,Efficiency
boyd2,SpMV-baseline,1,8.368171e-04,0.000000e+00,8.368171e-04,2.1273,17.222,1.0,1.0
boyd2,SpMV-baseline,2,8.673756e-04,0.000000e+00,8.673756e-04,2.0524,16.6152,0.96,0.48
boyd2,SpMV-baseline,4,8.471425e-04,0.000000e+00,8.471425e-04,2.1014,17.012,0.99,0.25
boyd2,cuda-SpMV-COO-multi,1,4.907827e-04,0.000000e+00,4.904122e-04,6.1143,44.287,1.0,1.0
boyd2,cuda-SpMV-COO-multi,2,3.995648e-04,2.476864e-03,3.990720e-04,7.5102,54.3974,1.23,0.61
boyd2,cuda-SpMV-COO-multi,4,3.616284e-04,3.198304e-03,3.612563e-04,8.298,60.1039,1.36,0.34
boyd2,cuda-SpMV-CSR-Vector-multi,1,4.430753e-04,0.000000e+00,4.427053e-04,6.7726,39.72,1.0,1.0
boyd2,cuda-SpMV-CSR-Vector-multi,2,2.616500e-04,1.638432e-03,2.611546e-04,11.4687,67.2615,1.69,0.85
boyd2,cuda-SpMV-CSR-Vector-multi,4,2.409127e-04,2.045888e-03,2.405398e-04,12.4559,73.0512,1.84,0.46
boyd2,cuda-SpMV-CSR-multi,1,6.511246e-03,0.000000e+00,6.510826e-03,0.4609,2.7029,1.0,1.0
boyd2,cuda-SpMV-CSR-multi,2,4.998272e-03,1.634560e-03,4.997789e-03,0.6004,3.521,1.3,0.65
boyd2,cuda-SpMV-CSR-multi,4,3.922374e-03,2.048928e-03,3.922009e-03,0.765,4.4868,1.66,0.42
boyd2,cuda-SpMV-cuSparse-multi,1,9.098982e-05,0.000000e+00,9.087104e-05,32.9794,193.4169,1.0,1.0
boyd2,cuda-SpMV-cuSparse-multi,2,9.270921e-05,1.596704e-03,9.259744e-05,32.3678,189.8298,0.98,0.49
boyd2,cuda-SpMV-cuSparse-multi,4,8.899319e-05,3.179456e-03,8.887776e-05,33.7194,197.7564,1.02,0.26
m_t1,SpMV-baseline,1,3.965520e-03,0.000000e+00,3.965520e-03,2.4842,15.1021,1.0,1.0
m_t1,SpMV-baseline,2,4.109707e-03,0.000000e+00,4.109707e-03,2.397,14.5722,0.96,0.48
m_t1,SpMV-baseline,4,4.127982e-03,0.000000e+00,4.127982e-03,2.3864,14.5077,0.96,0.24
m_t1,cuda-SpMV-COO-multi,1,1.020727e-03,0.000000e+00,1.020306e-03,19.111,115.4309,1.0,1.0
m_t1,cuda-SpMV-COO-multi,2,5.686393e-04,1.462432e-03,5.682813e-04,34.3049,207.2025,1.8,0.9
m_t1,cuda-SpMV-COO-multi,4,3.239445e-04,1.930336e-03,3.237238e-04,60.2175,363.715,3.15,0.79
m_t1,cuda-SpMV-CSR-Vector-multi,1,1.771173e-04,0.000000e+00,1.766813e-04,110.1368,447.1584,1.0,1.0
m_t1,cuda-SpMV-CSR-Vector-multi,2,1.013445e-04,1.266048e-03,1.009981e-04,192.4836,781.4883,1.75,0.87
m_t1,cuda-SpMV-CSR-Vector-multi,4,5.873678e-05,1.625728e-03,5.850656e-05,332.1111,1348.38,3.02,0.75
m_t1,cuda-SpMV-CSR-multi,1,2.654368e-04,0.000000e+00,2.649894e-04,73.4907,298.3743,1.0,1.0
m_t1,cuda-SpMV-CSR-multi,2,1.574683e-04,1.264256e-03,1.571152e-04,123.8798,502.9551,1.69,0.84
m_t1,cuda-SpMV-CSR-multi,4,8.709424e-05,1.598912e-03,8.688704e-05,223.9774,909.354,3.05,0.76
m_t1,cuda-SpMV-cuSparse-multi,1,1.711014e-04,0.000000e+00,1.709750e-04,114.0092,462.8805,1.0,1.0
m_t1,cuda-SpMV-cuSparse-multi,2,1.371732e-04,1.237376e-03,1.370653e-04,142.2081,577.3684,1.25,0.62
m_t1,cuda-SpMV-cuSparse-multi,4,1.159642e-04,1.572480e-03,1.158230e-04,168.2169,682.965,1.48,0.37
patents_main,SpMV-baseline,1,1.865456e-03,0.000000e+00,1.865456e-03,0.6014,4.64,1.0,1.0
patents_main,SpMV-baseline,2,1.884286e-03,0.000000e+00,1.884286e-03,0.5954,4.5936,0.99,0.5
patents_main,SpMV-baseline,4,1.885093e-03,0.000000e+00,1.885093e-03,0.5951,4.5917,0.99,0.25
patents_main,cuda-SpMV-COO-multi,1,4.058756e-05,0.000000e+00,4.016096e-05,27.6411,213.2597,1.0,1.0
patents_main,cuda-SpMV-COO-multi,2,3.481001e-05,1.472960e-03,3.450624e-05,32.2288,248.6552,1.17,0.58
patents_main,cuda-SpMV-COO-multi,4,2.551047e-05,1.891616e-03,2.518432e-05,43.9775,339.2996,1.59,0.4
patents_main,cuda-SpMV-CSR-Vector-multi,1,1.015354e-04,0.000000e+00,1.011306e-04,11.0492,72.626,1.0,1.0
patents_main,cuda-SpMV-CSR-Vector-multi,2,7.405804e-05,1.230656e-03,7.375520e-05,15.1487,99.5721,1.37,0.69
patents_main,cuda-SpMV-CSR-Vector-multi,4,4.628382e-05,1.574208e-03,4.595520e-05,24.2393,159.3238,2.19,0.55
patents_main,cuda-SpMV-CSR-multi,1,5.156809e-05,0.000000e+00,5.109952e-05,21.7554,142.9976,1.0,1.0
patents_main,cuda-SpMV-CSR-multi,2,3.771006e-05,1.207712e-03,3.744544e-05,29.7503,195.5476,1.37,0.68
patents_main,cuda-SpMV-CSR-multi,4,3.308179e-05,1.521280e-03,3.275968e-05,33.9125,222.9055,1.56,0.39
patents_main,cuda-SpMV-cuSparse-multi,1,7.882283e-05,0.000000e+00,7.871488e-05,14.233,93.553,1.0,1.0
patents_main,cuda-SpMV-cuSparse-multi,2,9.237438e-05,1.214464e-03,9.224992e-05,12.145,79.8285,0.85,0.43
patents_main,cuda-SpMV-cuSparse-multi,4,8.876802e-05,3.481856e-03,8.864256e-05,12.6384,83.0717,0.89,0.22
webbase-1M,SpMV-baseline,1,4.102818e-03,0.000000e+00,4.102818e-03,1.5139,11.033,1.0,1.0
webbase-1M,SpMV-baseline,2,4.114634e-03,0.000000e+00,4.114634e-03,1.5095,11.0013,1.0,0.5
webbase-1M,SpMV-baseline,4,4.113912e-03,0.000000e+00,4.113912e-03,1.5098,11.0033,1.0,0.25
webbase-1M,cuda-SpMV-COO-multi,1,1.218142e-04,0.000000e+00,1.213958e-04,50.9881,371.6027,1.0,1.0
webbase-1M,cuda-SpMV-COO-multi,2,9.392294e-05,1.538304e-03,9.339808e-05,66.1294,481.9533,1.3,0.65
webbase-1M,cuda-SpMV-COO-multi,4,5.852674e-05,1.933696e-03,5.798816e-05,106.1237,773.4323,2.08,0.52
webbase-1M,cuda-SpMV-CSR-Vector-multi,1,7.492761e-04,0.000000e+00,7.487943e-04,8.2894,49.1733,1.0,1.0
webbase-1M,cuda-SpMV-CSR-Vector-multi,2,3.917567e-04,1.106720e-03,3.912256e-04,15.8544,94.0491,1.91,0.96
webbase-1M,cuda-SpMV-CSR-Vector-multi,4,1.464313e-04,1.832800e-03,1.458976e-04,42.4163,251.6153,5.12,1.28
webbase-1M,cuda-SpMV-CSR-multi,1,5.826668e-04,0.000000e+00,5.822384e-04,10.6597,63.234,1.0,1.0
webbase-1M,cuda-SpMV-CSR-multi,2,6.978933e-04,1.111136e-03,6.973715e-04,8.8997,52.7937,0.83,0.42
webbase-1M,cuda-SpMV-CSR-multi,4,2.976433e-04,1.518816e-03,2.971181e-04,20.8675,123.7869,1.96,0.49
webbase-1M,cuda-SpMV-cuSparse-multi,1,1.058942e-04,0.000000e+00,1.057581e-04,58.6536,347.9356,1.0,1.0
webbase-1M,cuda-SpMV-cuSparse-multi,2,1.114389e-04,1.098560e-03,1.113174e-04,55.7352,330.6239,0.95,0.48
webbase-1M,cuda-SpMV-cuSparse-multi,4,1.113641e-04,1.439968e-03,1.112339e-04,55.7727,330.8458,0.95,0.24
